Title,Author,ISBN,ISBN13,My Rating,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Entry
Corpse in the Closet,Lucy Score,1728295181,9781728295183,,2024/05/30,2024/05/30,read,read,The corpse in the closet Lucy Score
A Killer's Mind,Mike Omer,,9781503901902,,2024/06/01,2024/06/01,read,read,A killer’s mind Mike Omer
Happiness Falls,Angie Kim,0571371477,9780593448205,,2024/06/04,2024/06/04,read,read,Happiness Falls Angie Kim
In the Darkness,Mike Omer,,9781721333202,,2024/06/05,2024/06/05,read,read,In the darkness Mike Omer
Vacation Wars,Meghan Quinn,,9781662506338,,2024/06/06,2024/06/06,read,read,Vacation wars Meghan Quinn
Hot Mess Summer,Melissa Foster,,9781662507939,,2024/06/07,2024/06/07,read,read,Hot mess summer Melissa Foster
Thicker Than Blood,Mike Omer,,9781799717539,,2024/06/09,2024/06/09,read,read,Thicker than blood Mike Omer
Don't close your eyes,Sara Orwig,1426821174,9781426821172,,2024/06/10,2024/06/10,read,read,Don’t close your eye PS Cunliffe
The Housemaid,Freida McFadden,1803144386,9783453471900,,2024/06/11,2024/06/11,read,read,The Housemaid Freida McFadden
The Killer's Wife,Bill Floyd,,9781429939874,,2024/06/12,2024/06/12,read,read,The killer’s wife Victor Methos
The Housemaid's Secret,Freida McFadden,1538742586,9781538742587,,2024/06/14,2024/06/14,read,read,The housemaid’s secret Freida McFadden
The Surrogate Mother,Freida McFadden,,9798639013379,,2024/06/15,2024/06/15,read,read,The surrogate mother Freida McFadden
The Seven Year Slip,Ashley Poston,0008646228,9780008779764,,2024/06/16,2024/06/16,read,read,The seven year slip Ashley Poston
Riley Thorn and the Blast from the Past,Lucy Score,,9798886439755,,2024/06/17,2024/06/17,read,read,the blast from the past Lucy Score
Crimson Lake Road,Victor Methos,1713506181,9781643589008,,2024/06/19,2024/06/19,read,read,Crimson Lake Road Victor Methos
Daughter of Mine,Anne Bennett       ,0007177240,9780007343478,,2024/06/20,2024/06/20,read,read,Daughter of mine Meghan Miranda
The Perfect Son,Freida McFadden,,9798635011362,,2024/06/21,2024/06/21,read,read,The perfect son Freida McFadden
The Housemaid Is Watching,Freida McFadden,9895702752,9789895702756,,2024/06/22,2024/06/22,read,read,The housemaid is watching Freida McFadden
Midnight Exposure,Melinda Leigh,1469227622,9781469227986,,2024/06/25,2024/06/25,read,read,midnight exposure Melinda Leigh
All He Has Left,Chad Zunker,,9781713673538,,2024/06/27,2024/06/27,read,read,All he has left Chad Zunker
The un-wedding,Babette Cole,,9782020327336,,2024/06/29,2024/06/29,read,read,The unwedding Ally Condie
Next Mrs. Parrish,Liv Constantine,,9780593599938,,2024/06/30,2024/06/30,read,read,The next Mrs. Parrish Liv Constantine
The Ex,Freida McFadden,,9798637890118,,2024/07/01,2024/07/01,read,read,The Ex Freida McFadden
My Favorite Terrible Thing,Madeleine Henry,1662517432,9781662517433,,2024/07/05,2024/07/05,read,read,My favorite Terrible thing Madeleine Henry
Brain Damage,Freida McFadden,,9781532902949,,2024/07/06,2024/07/06,read,read,Brain Damage Freida McFadden
Echo Road,Kendra Elliot,1662521995,9781662522000,,2024/07/09,2024/07/09,read,read,Echo Road Melinda Leigh/Kendra Elliot
A Merciful Death,Kendra Elliot,147781826X,9781531846190,,2024/07/10,2024/07/10,read,read,A merciful death Kendra Elliot
Behind A Closed Door,Jane Donnelly,0792710681,9780373022700,,2024/07/11,2024/07/11,read,read,behind a closed door JD Barker
"Merciful Truth, A",Kendra Elliot,1536656372,9781536656374,,2024/07/12,2024/07/12,read,read,A merciful truth Kendra Elliot
A merciful secret,Kendra Elliot,,9781542047869,,2024/07/14,2024/07/14,read,read,A merciful secret Kendra Elliot
A merciful silence,Kendra Elliot,,9781503901315,,2024/07/17,2024/07/17,read,read,A merciful silence Kendra Elliot
A Merciful Fate,Kendra Elliot,,9781503903302,,2024/07/19,2024/07/19,read,read,A merciful fate Kendra Elliot
"Merciful Promise, A",Kendra Elliot,,9781978637382,,2024/07/20,2024/07/20,read,read,A merciful promise Kendra Elliot
The final act,Dina McCall,0709024045,9781853892868,,2024/07/22,2024/07/22,read,read,The final act Lisa Gray
Hidden,Kendra Elliot,,9781612183886,,2024/07/24,2024/07/24,read,read,Hidden Kendra Elliot
Imaginary Strangers,Minka Kent,,9781662511660,,2024/07/25,2024/07/25,read,read,imaginary strangers Minka Kent*****
Body in the Backyard,Lucy Score,,9798886439502,,2024/07/26,2024/07/26,read,read,The body in the backyard Lucy Score
Strangers We Know,Elle Marr,,9781542032773,,2024/07/27,2024/07/27,read,read,Strangers we know Elle Marr****
Home Is Where the Bodies Are,Jeneva Rose,,9798874692414,,2024/07/29,2024/07/29,read,read,home is where the bodies are Jeneva Rose*****
Chilled,Kendra Elliot,1469209489,9781469209487,,2024/07/30,2024/07/30,read,read,Chilled Kendra Elliot
Between Two Strangers,Kate White,,9780063322905,,2024/07/31,2024/07/31,read,read,Between two strangers Kate White*****
Third Party,Brandi Reeds,,9781542044936,,2024/08/01,2024/08/01,read,read,Third party Brandi Reeds
The Day I Disappeared,Tina L. Ferguson,,9781413792430,,2024/08/04,2024/08/04,read,read,The day I disappeared Brandi Reeds
Darling Girls,Sally Hepworth,,9781250284525,,2024/08/05,2024/08/05,read,read,Darling Girls Sally Hepworth
Damage Control,Robert Dugoni,,9781423326533,,2024/08/06,2024/08/06,read,read,Damage Control Robert Dugoni
It's a Date (Again),Jeneva Rose,1662512414,9781662512414,,2024/08/08,2024/08/08,read,read,"It’s a date, Again Jeneva Rose"
Better Than Most,Jennifer Millikin,,9798986809977,,2024/08/09,2024/08/09,read,read,Better than most Jenifer Millikin
Funny Story,Emily Henry,0593441214,9780593441282,,2024/08/10,2024/08/10,read,read,Funny story Emily Henry
If Something Happens to Me,Alex Finlay,,9781250393937,,2024/08/11,2024/08/11,read,read,If something happens to me Alex Finlay
Every Single Secret,Emily Carpenter,1503951901,9781503951907,,2024/08/13,2024/08/13,read,read,Every single secret Emily Carpenter
Behind Every Good Man,Sara Goodman Confino,,9781662517723,,2024/08/15,2024/08/15,read,read,Behind every good man Sara Goodman confino
The Obsession,Jesse Sutanto,1728215161,9781728215167,,2024/08/18,2024/08/18,read,read,The obsession Jesse Q Sutanto
May Day,Jess Lourey,0738708380,9780738708386,,2024/08/19,2024/08/19,read,read,May Day Jess Lourey
June Bug,Jess Lourey,,9781662519253,,2024/08/20,2024/08/20,read,read,June bug Jess Lourey
August moon,Jess Lourey,0738713252,9780738713250,,2024/08/23,2024/08/23,read,read,August moon Jess Lourey
Feels Like Summer,Wendy Francis,,9781662520693,,2024/08/24,2024/08/24,read,read,Feels like summer Wendy Francis
"You, Again",Kate Goldbeck,,9781804992975,,2024/08/28,2024/08/28,read,read,"You, again Kate Goldbeck"
You Shouldn't Be Here,Lauren Thoman,,9781662517693,,2024/08/30,2024/08/30,read,read,you shouldn’t be here Lauren Thoman
The last party,Anthony Haden-Guest,,9781322575636,,2024/08/31,2024/08/31,read,read,The last party A R Torre
The good husband,Gail Godwin,1568950861,9780345372437,,2024/09/02,2024/09/02,read,read,The good husband Steve Fretch
One Big Happy Family,Jamie Day,,9781250283276,,2024/09/04,2024/09/04,read,read,One big happy family Jamie Day
September Mourn,Jess Lourey,,9781662519314,,2024/09/05,2024/09/05,read,read,September Mourn Jess Lourey
Plain Dead,Emma Miller,,9780758291769,,2024/09/07,2024/09/07,read,read,plain dead Andy Maslan
Never let you go,Chevy Stevens,,9780751569162,,2024/09/08,2024/09/08,read,read,Never let you go Chevy Stevens
Return to Midnight,Emma Dues,1662518811,9781662518812,,2024/09/09,2024/09/09,read,read,Return to Midnight Emma Dues
Listen for the Lie,Amy Tintera,,9780857505705,,2024/09/12,2024/09/12,read,read,Listen for the Lie Amy Tintera
Just for the Summer,Abby Jimenez,,9781538768648,,2024/09/13,2024/09/13,read,read,Just for the summer Abby Jimenez
Our Little Secret,Lisa Jackson,1399723863,9798891642218,,2024/09/14,2024/09/14,read,read,Our little secret Lisa Jackson
Last Girl Ghosted,Lisa Unger,,9781432891312,,2024/09/17,2024/09/17,read,read,Last girl ghosted Lisa Unger
Heart Restoration Project,Beth Merlin,1662522231,9781662522239,,2024/09/18,2024/09/18,read,read,Heart restoration project Beth Merlin
Vanished,Kendra Elliot,,9781683242611,,2024/09/19,2024/09/19,read,read,Vanished Kendra Elliot
Bridged,Kendra Elliot,,9781477825792,,2024/09/22,2024/09/22,read,read,Bridged Kendra Elliot
I Don't Forgive You,Aggie Blum Thompson,1250775175,9781250818454,,2024/09/23,2024/09/23,read,read,I don’t forgive you Aggie Blum Thompson*****
Spiraled,Kendra Elliot,,9781477830321,,2024/09/24,2024/09/24,read,read,Spiraled Kendra Elliot
Targeted,Kendra Elliot,,9781511375887,,2024/09/25,2024/09/25,read,read,Targeted Kendra Elliot
October Fest,Jess Lourey,,9781948584296,,2024/09/27,2024/09/27,read,read,October Fest Jess Lourey
All the Dirty Secrets,Aggie Blum Thompson,1250773989,9781250773999,,2024/09/28,2024/09/28,read,read,All the Dirty Secrets Aggie Blum Thompson
Buried,Kendra Elliot,,9781469290157,,2024/09/29,2024/09/29,read,read,Buried Kendra Elliot
Alone,Kendra Elliot,1477809716,9781477809716,,2024/09/30,2024/09/30,read,read,Alone Kendra Elliot
Lies He Told Me,James Patterson,1529136547,9781529136531,,2024/10/02,2024/10/02,read,read,Lies he told me James Patterson
Known,Kendra Elliot,1503949478,9781503949478,,2024/10/03,2024/10/03,read,read,Known Kendra Elliot
Shades of Her,Monica Arya,,9798985494709,,2024/10/07,2024/10/07,read,read,Shades of her Monica Arya
Dark Sacred Night,Michael Connelly,,9781549142291,,2024/10/09,2024/10/09,read,read,Dark Sacred Night Michael Connelly
The Last One at the Wedding,Jason Rekulak,1250895782,9781250374615,,2024/10/10,2024/10/10,read,read,The last one at the wedding Jason Rekulak***
What She Forgot,Cole Baxter,,9781705637456,,2024/10/12,2024/10/12,read,read,What she Forgot Cole Baxter
What Have You Done?,Shari Lapena,0593915364,9781787635760,,2024/10/13,2024/10/13,read,read,What have you done? Shari Lapena
The Boyfriend,Robert Lawrence Stine,,9782762567502,,2024/10/14,2024/10/14,read,read,The boyfriend Frieda McFadden
Twisted Truth,Melinda Leigh,1543659888,9781543659887,,2024/10/17,2024/10/17,read,read,Twisted Truth Melinda Leigh
The Recipient,Audrey J Cole,1542953707,9781542953702,,2024/10/19,2024/10/19,read,read,The recipient Audrey J Cole****
Forgotten Kill,Isabella Maldonado,1662515820,9781662515828,,2024/10/20,2024/10/20,read,read,A forgotten Kill Isabella Maldonado
Bad Reputation,Emma Barry,1662520832,9781662520839,,2024/10/22,2024/10/22,read,read,Bad Reputation Emma Barry
Inspired,Marty Cagan,3527511059,9783527511051,,2024/10/23,2024/10/23,read,read,Inspired by Murder Audrey J Cole
Here One Moment,Liane Moriarty,,9781405942287,,2024/10/24,2024/10/24,read,read,Here one moment Liane Moriarty
The Summer Nanny,Audrey J. Cole,,9781098641153,,2024/10/25,2024/10/25,read,read,The summer nanny Audrey J Cole
November Hunt,Jess Lourey,1662519354,9780738732565,,2024/10/27,2024/10/27,read,read,November Hunt Jess Lourey
Viable Hostage,Audrey J Cole,,9781089545170,,2024/10/28,2024/10/28,read,read,Viable Hostage Audrey J Cole
"A very, very bad thing",Jeffery Self,1338118404,9781338118421,,2024/10/29,2024/10/29,read,read,A very bad thing JT Ellison
Tracks of Her Tears,Melinda Leigh,1511318503,9781511318501,,2024/10/30,2024/10/30,read,read,Tracks of her tears Melinda Leigh
Fatal Deception,Sally Wentworth,,9780263751451,,2024/11/01,2024/11/01,read,read,Fatal Deception Audrey J Cole
Black Nowhere,Reece Hirsch,,9781542042918,,2024/11/02,2024/11/02,read,read,Black nowhere Reece Hirsch
Dark Tomorrow,Reece Hirsch,,9781542093262,,2024/11/03,2024/11/03,read,read,Dark Tomorrow Reece Hirsch
Unintended Consequences,Marti Green,1480585203,9781480585201,,2024/11/07,2024/11/07,read,read,Unintended Consequences Marti Green
Presumption of Guilt,Marti Green,,9781491548240,,2024/11/09,2024/11/09,read,read,presumption of guilt Marti Green
Price of Justice,Marti Green,,9781503945036,,2024/11/11,2024/11/11,read,read,price of justice Marti green
The Liar's Wife,"Gordon, Mary",0307390330,9780307390332,,2024/11/12,2024/11/12,read,read,The liar’s wife Kiersten Modglin
First Offense,Marti Green,1503934705,9781503934702,,2024/11/13,2024/11/13,read,read,First Offense Marti Green
Justice Delayed,Marti Green,,9781477819876,,2024/11/14,2024/11/14,read,read,Justice delayed Marti Green
One True Loves,Taylor Jenkins Reid,1520015151,9781520015101,,2024/11/16,2024/11/16,read,read,One True Loves Taylor Jenkins Reid*****
No Way Back,Andrew Gross,,9780007525461,,2024/11/17,2024/11/17,read,read,No way back JB Turner
A Long Way Home,Saroo Brierley,1482996197,9780670068203,,2024/11/18,2024/11/18,read,read,Long way home JB Turner
Confidential,Ellie Monago,,9781542040082,,2024/11/19,2024/11/19,read,read,Confidential Ellie Monago
The guilty one,Lisa Ballantyne,074995728X,9781471222276,,2024/11/21,2024/11/21,read,read,The Guilty One Kiersten Modglin
The good twin,Marti Green,,9781503949850,,2024/11/22,2024/11/22,read,read,The good twin Marti Green
The bubble gum thief,Jeff Miller,1612184839,9781612184838,,2024/11/23,2024/11/23,read,read,The bubble gum thief Jeff Miller
Borderline Insanity,Jeff Miller,1503936813,9781503936812,,2024/11/24,2024/11/24,read,read,borderline insanity Jeff Miller
The surgeon's secret,Patricia Warren,070903461X,9780709034612,,2024/11/27,2024/11/27,read,read,The surgeons secrets Aaron Quinn
Maybe in another life,Taylor Jenkins Reid,,9781476776880,,2024/11/29,2024/11/29,read,read,maybe in another life Taylor J Reid*****
Nobody's Perfect,Sally Kilpatrick,1662525818,9781662525810,,2024/12/01,2024/12/01,read,read,Nobody’s perfect Sally Kilpatrick
The Pumpkin Spice Café,Laurie Gilmore,9402716297,9780008610661,,2024/12/03,2024/12/03,read,read,The pumpkin spice cafe Laurie Gilmore
Cruel winter with you,Ali Hazelwood,,9781662528392,,2024/12/04,2024/12/04,read,read,Cruel winter with you Ali Hazelwood
Echo,Tracy Clark,1662517327,9781662517327,,2024/12/06,2024/12/06,read,read,Echo Tracy Clark
Part of Your World,Abby Jimenez,,9781538704370,,2024/12/07,2024/12/07,read,read,Part of your world Abby Jimenez
Broken Grace,E.C. Diskin,1503946185,9781503946187,,2024/12/08,2024/12/08,read,read,Broken Grace E C Diskin
The green line,Tom Molloy,0891820523,9780891820529,,2024/12/09,2024/12/09,read,read,The green line EC Diskin
What Lies Below,Barbara Taylor Sissel,1503950115,9781503950115,,2024/12/11,2024/12/11,read,read,What Lies Below Barbara Taylor Sissel
The Truth We Bury,Barbara Taylor Sissel,1477823980,9781477823989,,2024/12/12,2024/12/12,read,read,The truth we bury Barbara Taylor Sissel
Death and Her Devotion,Kendra Elliot,1536626341,9781536626346,,2024/12/14,2024/12/14,read,read,Death and her devotion Kendra Elliot
All Our Tomorrows,Catherine Bybee,,9781662517235,,2024/12/17,2024/12/17,read,read,All our tomorrows Catherine Bybee
The Forgotten Ones,Steena Holmes,,9781503951754,,2024/12/18,2024/12/18,read,read,The forgotten one Catherine Bybee
When It Falls Apart,Catherine Bybee,1713658704,9781713658719,,2024/12/19,2024/12/19,read,read,When it falls apart Catherine Bybee
Be Your Everything,Catherine Bybee,,9781799798927,,2024/12/21,2024/12/21,read,read,Be your everything Catherine Bybee
Beginning of Forever,Catherine Bybee,1542038553,9781542038553,,2024/12/23,2024/12/23,read,read,Beginning of forever Catherine Bybee
Here the whole time,Vítor Martins,133867594X,9781338620825,,2024/12/24,2024/12/24,read,read,The whole time Catherine Bybee
All the Broken Places,John Boyne,,9780857528865,,2024/12/26,2024/12/26,read,read,The broken places Mia Sheridan
Jane Doe,Victoria Helen Stone,,9781503901032,,2024/12/28,2024/12/28,read,read,Jane Doe Victoria Helen Stone
P. S. I Hate You,Tana Creative,,9781721274550,,2025/01/01,2025/01/01,read,read,P.S. I Hate you Lauren Connolly
Guilty wives,James Patterson,1784754498,9780316097574,,2025/01/02,2025/01/02,read,read,Guilty Wives James Patterson David Ellis
The Last Trip,Alex R. Stuart,0450025209,9780450025204,,2025/01/08,2025/01/08,read,read,The Last trip Kiersten Modglin
I Said Yes,Kiersten Modglin,166204917X,9781956538120,,2025/01/12,2025/01/12,read,read,I said yes Kiersten Modglin
Girl under the Ice,Georgia Wagner,,9781915757630,,2025/01/13,2025/01/13,read,read,Girl under the ice Georgia Wagner
His Perfect Crime,Alex Sigmore,,9781957536033,,2025/01/14,2025/01/14,read,read,His perfect crime Alex Sigmore
Smoke and Ashes,Alex Sigmore,1957536101,9781957536118,,2025/01/17,2025/01/17,read,read,smoke and ashes Alex Sigmore
Taking Her Down,Jordan Marie,,9781086544060,,2025/01/18,2025/01/18,read,read,Take her down Melinda Leigh
Maggie Moves On,Lucy Score,,9781668615713,,2025/01/20,2025/01/20,read,read,Maggie moves on Lucy Score
Her Final Words,Alex Sigmore,,9781957536125,,2025/01/23,2025/01/23,read,read,Her final words Alex Sigmore
Can't Miss Her,Alex Sigmore,,9781957536200,,2025/01/24,2025/01/24,read,read,can’t miss her Alex Sigmore
The Last Daughter of York,Nicola Cornick,,9781525806452,,2025/01/26,2025/01/26,read,read,The last daughter Alex Sigmore
The Husband's Secret,Liane Moriarty,1594137226,9781622639427,,2025/01/28,2025/01/28,read,read,The husband’s secret Franklin Christopher
The Secret Seven,Enid Blyton,8426142567,9782010141751,,2025/01/29,2025/01/29,read,read,the secret seven Alex Sigmore
Liar's Grave,Alex Sigmore,,9781957536286,,2025/01/31,2025/01/31,read,read,A Liar’s grave Alex Sigmore
Here for the Cake,Jennifer Millikin,,9798986809991,,2025/02/03,2025/02/03,read,read,Here for the cake Jennifer Millikin
Girl in the Walls,A. J. Gnuse,,9780063031814,,2025/02/04,2025/02/04,read,read,The girl in the wall Alex Sigmore
Our Finest Hour,Jennifer Millikin,,9780996784559,,2025/02/05,2025/02/05,read,read,Our finest hour Jennifer Millikin
His Final Act,Alex Sigmore,1957536349,9781957536347,,2025/02/06,2025/02/06,read,read,His final act Alex Sigmore
The Vanishing Eyes,Alex Sigmore,,9781957536378,,2025/02/09,2025/02/09,read,read,The vanishing eyes Alex Sigmore
Dark Power,Mary Stone,,9798788411026,,2025/02/11,2025/02/11,read,read,Dark Power Mary Stone
The edge of the wood,Alan Bold,0946487081,9780946487080,,2025/02/12,2025/02/12,read,read,Edge of the woods Alex Sigmore
Ties That Bind,Alex Sigmore,1957536462,9781957536460,,2025/02/16,2025/02/16,read,read,Ties that bind Alex Sigmore
Dark Obsession,Valerie Marsh,0373108206,9780373108206,,2025/02/19,2025/02/19,read,read,Dark Obsession Mary stone
Obsession Falls,Claire Kingsley,1464233497,9781464233494,,2025/02/20,2025/02/20,read,read,obsession falls Claire Kingsley
Storms and Secrets,Claire Kingsley,1959809148,9781959809159,,2025/02/22,2025/02/22,read,read,Storms and secrets Claire Kingsley
Dark Masks,I. Savage,1959791028,9781959791089,,2025/02/24,2025/02/24,read,read,Dark Mask Mary Stone
Dark Suspicions,Anne E. Schraff,1616519584,9781616519582,,2025/02/25,2025/02/25,read,read,Dark suspicion Mary stone
Temptation Trails,Claire Kingsley,,9781959809166,,2025/02/27,2025/02/27,read,read,Temptation trails Claire Kingsley
Murder in the Hollows,Declan James,1951327365,9781951327361,,2025/02/28,2025/02/28,read,read,Murder in the Hollows Declan James
Kill Season,Declan James,1951327411,9781951327415,,2025/03/01,2025/03/01,read,read,kill season Declan James
Cold Truth,Mary Stone,,9781660486793,,2025/03/02,2025/03/02,read,read,Cold Truth Mary Stone
Red Sky Hill,Declan James,,9781951327545,,2025/03/05,2025/03/05,read,read,Red sky hill Declan James
Cold Threat,Mary Stone,,9798624437159,,2025/03/06,2025/03/06,read,read,Cold Threat Mary Stone
Cold Highway,Mary Stone,,9798635569122,,2025/03/07,2025/03/07,read,read,Cold Highway Mary Stone
Cold Grave,Donna Berdel,,9798643992127,,2025/03/08,2025/03/08,read,read,cold grave Mary Stone
Cold Shadows,Mary Stone,,9798554320866,,2025/03/10,2025/03/10,read,read,Cold Shadows Mary Stone
The Happy Ever After Playlist,Abby Jimenez,,9781538715642,,2025/03/11,2025/03/11,read,read,The happy ever after playlist Abby Jimenez
Her Last Moment,Declan James,,9781951327644,,2025/03/12,2025/03/12,read,read,Her last moment Declan James
Tattered,Devney Perry,1732388407,9781732388406,,2025/03/13,2025/03/13,read,read,Tattered Devney Perry
Cold Revenge,"Stone, Mary, Berdel, Donna",,9798581952559,,2025/03/14,2025/03/14,read,read,Cold revenge Mary Stone
Cold Trail,Donna Berdel,,9798719251585,,2025/03/16,2025/03/16,read,read,Cold trail Mary Stone
Cold Death,Donna Berdel,,9798503701326,,2025/03/17,2025/03/17,read,read,Cold death Mary stone
Cold Hearted,Serena Valentino,1760974471,9781760974473,,2025/03/19,2025/03/19,read,read,Cold Heart Mary Stone
Cold Judgement,Joanne Fluke,1322229090,9781322229096,,2025/03/20,2025/03/20,read,read,cold judgement Mary Stone
Cold Crash,Jennifer Young,,9781910836774,,2025/03/23,2025/03/23,read,read,Cold crash Mary Stone
Shadow's Secret (Shadow Island FBI Mystery Series),Mary Stone,,9798814939258,,2025/03/24,2025/03/24,read,read,Shadow’s secrets Mary Stone
Her Perfect Lie,M. J. Ambil,,9798835096503,,2025/03/26,2025/03/26,read,read,Her perfect lie Mary stone
Killer smile,Lisa Scottoline,0060729511,9780060514969,,2025/03/27,2025/03/27,read,read,killer smile Mary stone
Beautiful Ugly,Alice Feeney,1035053810,9781035053803,,2025/03/28,2025/03/28,read,read,Beautiful Ugly Alice Feeney
All the Natural Beauties,John Deal,,9781737538219,,2025/03/30,2025/03/30,read,read,All the natural beauties John Deal
Under a Blood Moon,John Deal,,9781737538233,,2025/03/31,2025/03/31,read,read,Under a blood moon John Deal
Story of My LIfe,Lucy Score,,9781728297057,,2025/04/05,2025/04/05,read,read,Story of my life Lucy Score
The girl who lied,Sue Fortin,,9780008194857,,2025/04/06,2025/04/06,read,read,The girl who lied Shannon Hollinger
Their Angel's Cry,Shannon Hollinger,1803148888,9781803148885,,2025/04/07,2025/04/07,read,read,Their angels cry Shannon Hollinger
Girl in the Cabin,Douglas Strait,1799029395,9781799029397,,2025/04/14,2025/04/14,read,read,The girl in the cabin Elle Gray
What She Left,H. K. Christie,,9781953268037,,2025/04/15,2025/04/15,read,read,What She left H K Christie
If She Ran,Blake Pierce,,9781640297012,,2025/04/16,2025/04/16,read,read,If she ran H K Christie
All She Wanted,Aphrodite Jones,,9781439101025,,2025/04/17,2025/04/17,read,read,All she wanted HK Christie
Why She Lied,H.K. Christie,,9781953268105,,2025/04/18,2025/04/18,read,read,why she lied HK Christie
Secrets She Kept,Cathy Gohlke,,9781496409843,,2025/04/19,2025/04/19,read,read,Secrets she kept HK Christie
Blood in the sand,Benny Hinn,,9781599797700,,2025/04/21,2025/04/21,read,read,Blood in the sand Alex Sigmore
Pretend You're Mine,Lucy Score,,9781945631313,,2025/04/23,2025/04/23,read,read,Pretend you’re mine Lucy Score
Murder in the pines,Kathryn Gualtieri,0615489052,9780615489056,,2025/04/24,2025/04/24,read,read,Murder in the pines AJ Rivers
What Lies in the Woods,Kate Alice Marshall,1250859905,9781250361851,,2025/04/29,2025/04/29,read,read,What lies in the woods Kate Alice Marshall
No one can know,Kate Alice Marshall,,9781250859921,,2025/05/03,2025/05/03,read,read,No one can know Kate Alice Marshall
Finally Mine,Lucy Score,,9781945631337,,2025/05/05,2025/05/05,read,read,Finally Mine Lucy Score
What Happened Last Night?,Glenda Yarbrough,,9781476010274,,2025/05/07,2025/05/07,read,read,What happened last night Cold Baxter
Killer Trail,Jenny Elaine,,9798985366143,,2025/05/09,2025/05/09,read,read,Killer Trail Jenny Elaine
Requited,Ashley Mack,1960161121,9781960161123,,2025/05/11,2025/05/11,read,read,Requite E H Reinhard
Life's Too Short,Abby Jimenez,,9781538715680,,2025/05/17,2025/05/17,read,read,Life’s too short Abby Jimenez
ReORIENT,Andre Gunder Frank,,9780520211292,,2025/05/19,2025/05/19,read,read,Reorient E H Reinhard
Prime Suspect,Lynda La Plante,0749315512,9780727842329,,2025/05/21,2025/05/21,read,read,Prime Suspect Cole Baxter
The first shot,L. J. Coburn,,9780722124628,,2025/05/23,2025/05/23,read,read,The first shot EH Reinhard
Someone else's daughter,Linsey Lanier,,9781941191125,,2025/05/25,2025/05/25,read,read,Someone else’s daughter Linsey Lanier
Delicious Torment,Linsey Lanier,1466173068,9781941191132,,2025/05/26,2025/05/26,read,read,Delicious torment Linsey Lanier
Forever Mine,Linsey Lanier,,9781476184104,,2025/05/27,2025/05/27,read,read,Forever mine Linsey Lanier
Fire Dancer,Linsey Lanier,1941191150,9781941191156,,2025/05/28,2025/05/28,read,read,Fire dancer Linsey Lanier
Thin Ice,Linsey Lanier,,9781941191163,,2025/05/29,2025/05/29,read,read,Thin ice Linsey Lanier
All Eyes on Me,Linsey Lanier,,9781941191088,,2025/05/30,2025/05/30,read,read,All eye on me Linsey Lanier
Heart Wounds,Linsey Lanier,1941191096,9781941191095,,2025/05/31,2025/05/31,read,read,Heart wounds Linsey Lanier
Dead of Night,Lisa Gray,1662519176,9781662519178,,2025/06/02,2025/06/02,read,read,Dead of night Lisa Gray
In Cold Blood,Truman Capote,,9780241907788,,2025/06/03,2025/06/03,read,read,In cold blood Jack Hunt
Vanished from Sight,L.J. Parker,144892121X,9781448921218,,2025/06/05,2025/06/05,read,read,Vanish from sight Jack Hunt
Her Final Hour,Carla Kovach,,9781786815194,,2025/06/06,2025/06/06,read,read,Her final hours Jack Hunt
Breaking and entering,Joy Williams,0002710552,9780394757735,,2025/06/13,2025/06/13,read,read,Break and enter Lori Matthew’s
A Killer's Mind,Mike Omer,,9781503901902,,2025/06/15,2025/06/15,read,read,A killer’s mind Thomas Fincham
The Missing Half,Ashley Flowers,,9780593726983,,2025/06/18,2025/06/18,read,read,The missing half Ashley Flowers
Say You'll Remember Me,Abby Jimenez,0349442835,9780349442839,,2025/06/19,2025/06/19,read,read,say you’ll remember me Abby Jimenez
9-11,Noam Chomsky,,9788479018023,,2025/06/20,2025/06/20,read,read,911 DJ Maughan
The House Sitter,Judith R. Parker,0759226547,9780759226548,,2025/06/22,2025/06/22,read,read,The house sitter Kerri Beevis
Her First Mistake,Kendra Elliot,,9781662525773,,2025/06/23,2025/06/23,read,read,Her first mistake Kendra Elliott
The fourth monkey,J. D. Barker,,9780544968844,,2025/06/27,2025/06/27,read,read,The fourth Monkey J D Barker
The Summer House,James Patterson,1529125154,9781529125160,,2025/06/29,2025/06/29,read,read,The summer house Keri Beevis
Intersect,Elle O'Roark,,9781956800012,,2025/07/01,2025/07/01,read,read,intersect Elle o’Roark
Desolate Escape,Sherri Wilson Johnson,,9798480453768,,2025/07/02,2025/07/02,read,read,Desolate escape Sherri Wilson Johnson
The Daughter's Curse,Jennifer Givhan,,9781387707409,,2025/07/05,2025/07/05,read,read,The daughter’s curse Mary Stone
A Happy Marriage,Rafael Yglesias,1439109818,9781439109816,,2025/07/06,2025/07/06,read,read,A happy marriage A R Torre
The Rose Garden,Mr Thomas Fincham,,9781541158252,,2025/07/08,2025/07/08,read,read,The rose garden Thomas Fincham
The Rose Tattoo,Mr Thomas Fincham,,9781541158351,,2025/07/11,2025/07/11,read,read,The rose tattoo Thomas Fincham
Dying to Tell,Keri Beevis,1806581647,9781912986903,,2025/07/12,2025/07/12,read,read,Dying to tell Keri Beevis
Someone Knows,Vi Keeland,,9780349438900,,2025/07/14,2025/07/14,read,read,someone knows Vi Keeland
