Title,Author,ISBN,ISBN13,My Rating,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Entry
Becoming Mrs. Abbott,Kiersten Modglin,,9781956538151,,2023/05/29,2023/05/29,read,read,Becoming Mrs. Abbott Kiersten Modglin
To Die For,Lisa Gray,,9781542035316,,2023/05/31,2023/05/31,read,read,To die for Lisa Gray
"Hello, Sunshine",Laura Dave,,9781476789330,,2023/06/03,2023/06/03,read,read,"Hello, Sunshine Laura Dave"
In the Deep,Loreth Anne White,1542019699,9781542019699,,2023/06/05,2023/06/05,read,read,In the deep Loreth Anne White
The Silent Patient,Alex Michaelides,,9781432858643,,2023/06/08,2023/06/08,read,read,the silent patient Alex Michaelides
When I Was You,Minka Kent,,9781542005555,,2023/06/10,2023/06/10,read,read,When I was you Minka Kent
Death in the Sunshine,Steph Broadribb,,9781713631132,,2023/06/12,2023/06/12,read,read,Death in the sunshine Steph Broadribb
Death at Paradise Palms,Steph Broadribb,,9781542027526,,2023/06/15,2023/06/15,read,read,Death at Paradise Palms Steph Broadribb
The Block Party,Nicole Pyland,,9781949308822,,2023/06/17,2023/06/17,read,read,The block party Jamie Day
Death on the Beach,Steph Broadribb,1542027535,9781542027533,,2023/06/20,2023/06/20,read,read,Death on the beach Steph Broadribb
Gone Again,Minka Kent,1713673592,9781713673590,,2023/06/22,2023/06/22,read,read,Gone again Minka Kent
Unmissing,Minka Kent,1713614685,9781713614692,,2023/06/24,2023/06/24,read,read,Unmissing Minka Kent
Last One to Lie,Jack Stainton,1916497888,9781916497887,,2023/06/29,2023/06/29,read,read,Last one to lie JM Winchester
If She Only Knew,Lisa Jackson,1574905406,9780739413234,,2023/07/04,2023/07/04,read,read,If she only knew Lisa Jackson
All Good People Here,Ashley Flowers,1387566393,9780593496473,,2023/07/06,2023/07/06,read,read,All good people here Ashley Flowers
The Good Daughter,Karin Slaughter,,9781504779968,,2023/07/09,2023/07/09,read,read,The good daughter Karin Slaughter
Almost Dead,Lisa Jackson,0821775790,9780340961902,,2023/07/11,2023/07/11,read,read,Almost dead Lisa Jackson
The End of Her,Shari Lapena,,9781984880512,,2023/07/13,2023/07/13,read,read,The end of her Shari Lapena
Her Deadly Game,Robert Dugoni,,9781799789574,,2023/07/16,2023/07/16,read,read,Her deadly game Robert Dugoni
You Have to Believe Me,Sunday Tomassetti,,9781688091283,,2023/07/18,2023/07/18,read,read,You have to believe me Minka Kent
While she slept,Marion Collins,0312933967,9780312933968,,2023/07/21,2023/07/21,read,read,While she slept N.L. Hinkens
Everyone Here Is Lying,Shari Lapena,,9780593489949,,2023/07/23,2023/07/23,read,read,Everyone here is lying Shari Lapena
Hemlock Island,Kelley Armstrong,1250284198,9781250284198,,2023/07/25,2023/07/25,read,read,Hemlock Island Kelley Armstrong
My sister's grave,Robert Dugoni,,9781477825570,,2023/07/28,2023/07/28,read,read,My sister’s grave Robert Dugoni
Her Final Breath,Robert Dugoni,,9781683240242,,2023/08/02,2023/08/02,read,read,Her final breath Robert Dugoni
In the clearing,Robert Dugoni,,9781503953574,,2023/08/04,2023/08/04,read,read,in the clearing Robert Dugoni
The marriage lie,Kimberly Belle,,9780263927542,,2023/08/06,2023/08/06,read,read,The marriage lie Kimberly Belle
The Doctor's Wife,Daniel Hurst,,9781803149417,,2023/08/09,2023/08/09,read,read,The Doctor’s wife Daniel Hurst
The Golden Couple,Greer Hendricks,,9781250835611,,2023/08/14,2023/08/14,read,read,The golden couple Greer Hendricks
The trapped girl,Robert Dugoni,,9781531864231,,2023/08/16,2023/08/16,read,read,The trapped girl Robert Dugoni
The Dark Room,Lisa Gray,1713673169,9781713673156,,2023/08/18,2023/08/18,read,read,The dark room Lisa gray
Pretty Girls,Karin Slaughter,0062429078,9780062430878,,2023/08/21,2023/08/21,read,read,pretty girls Karen slaughter
The Doctor's Widow,Daniel Hurst,1837908265,9781837908264,,2023/08/23,2023/08/23,read,read,The Doctor’s widow Daniel Hurst
Close to home,Robert Dugoni,1683247728,9781683247722,,2023/08/26,2023/08/26,read,read,close to home Robert Dugoni
A Steep price,Robert Dugoni,,9781503954182,,2023/08/28,2023/08/28,read,read,A steep price Robert Dugoni
A cold trail,Robert Dugoni,1978683006,9781978683006,,2023/09/02,2023/09/02,read,read,A cold trail Robert Dugoni
My Lovely Wife,Samantha Downing,,9781432858858,,2023/09/04,2023/09/04,read,read,my lovely wife Samantha downing
In Her Tracks,Robert Dugoni,1713547066,9781542008372,,2023/09/07,2023/09/07,read,read,In her tracks Robert Dugoni
What She Found,Robert Dugoni,1638084726,9781638084723,,2023/09/09,2023/09/09,read,read,What she found Robert Dugoni
One Last Kill,Robert Dugoni,1662500211,9781662500213,,2023/09/11,2023/09/11,read,read,one last kill Robert Dugoni
Cross Her Heart,Melinda Leigh,,9781643587929,,2023/09/16,2023/09/16,read,read,Cross her heart Melinda Leigh
See Her Die,Melinda Leigh,,9781542006965,,2023/09/19,2023/09/19,read,read,see her die Melinda Leigh
Drown Her Sorrows,Melinda Leigh,,9781713525042,,2023/09/21,2023/09/21,read,read,Drown her sorrows Melinda Leigh
Right Behind Her,Melinda Leigh,,9781542007061,,2023/09/23,2023/09/23,read,read,Right behind her Melinda Leigh
Dead Against Her,Melinda Leigh,,9781542030625,,2023/09/26,2023/09/26,read,read,Dead against her Melinda Leigh
The Wife Upstairs,Rachel Hawkins,0008377537,9780008377519,,2023/09/28,2023/09/28,read,read,the wife upstairs Rachel Hawkins
Local Woman Missing,Mary Kubica,0778389448,9781432886974,,2023/10/01,2023/10/01,read,read,local woman missing Mary Kubica
Lie To Her,Melinda Leigh,1542030668,9781542030663,,2023/10/03,2023/10/03,read,read,Lie to her Melinda Leigh
Catch Her Death,Melinda Leigh,,9781542038645,,2023/10/05,2023/10/05,read,read,catch her death Melinda Leigh
The thinnest air,Minka Kent,,9781503953406,,2023/10/08,2023/10/08,read,read,the thinnest air Minka kent
House Beyond the Dunes,Mary Burton,,9781542038676,,2023/10/10,2023/10/10,read,read,House beyond the dunes Mary Burton
Near You,Mary Burton,,9781713559443,,2023/10/12,2023/10/12,read,read,Near you Mary Burton
The Last Move,Mary Burton,,9781543601695,,2023/10/15,2023/10/15,read,read,The last move Mary burton
Her last word,Mary Burton,154366637X,9781543666373,,2023/10/17,2023/10/17,read,read,Her last word Mary Burton
Don't Look Now,Mary Burton,1542021456,9781542021456,,2023/10/20,2023/10/20,read,read,Don’t look now Mary Burton
